gross_margin,net_margin,revenue_growth,cost_growth,current_ratio,debt_to_equity,opex_ratio,ebit_margin,asset_turnover,negative_equity,size_bucket_large,size_bucket_micro,size_bucket_mid,size_bucket_small,profit_regime_breakeven,profit_regime_loss,profit_regime_profitable,leverage_tier_high,leverage_tier_low,leverage_tier_med,growth_stage_high_growth,growth_stage_shrinking,growth_stage_stable
0.16901408,-0.0023474179,-0.059602648,-0.12949152,2.4702382,0.509299,0.17370892,-0.0046948357,1.2113744,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.74407005,-0.56894124,0.0526996,0.30732632,4.696729,0.43051872,1.2077093,-0.4636392,0.48219252,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.57671016,-0.00809915,-0.10727679,-0.096561454,0.24621795,1.1518607,0.5562225,0.020487612,1.9849844,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.8254137,0.23046044,1.528169,0.8077312,1.3764173,1.2369401,0.557185,0.26822874,0.580547,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.40979034,0.08560959,0.08596918,0.09327252,2.0287035,0.70451874,0.2871574,0.12263293,1.5758926,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.5303236,0.26685953,0.1191363,0.06395565,6.707316,0.16111173,0.23096411,0.29935953,0.88292205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.7131364,0.06323067,-0.103005014,-0.0038046925,1.4645833,2.6489015,0.60182273,0.11131364,0.67947894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.280324,0.09116833,0.07056898,0.07401922,1.0586894,0.43043834,0.19450758,0.08581642,1.5351478,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.13931088,-0.019420518,0.10841073,0.11357587,2.222063,3.1871922,0.12208301,0.017227877,0.93897057,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.37699935,0.1104419,0.21075277,0.184286,1.2331722,1.7099975,0.2103792,0.16662015,0.50398815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.31999463,0.0936967,0.36941972,0.32612646,2.9939134,0.5988696,0.18750839,0.13248625,0.5081265,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.15482125,-3.959397,-0.06839379,0.66040415,1.0534779,1.1518607,3.4092305,-3.5640516,0.9156473,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.18416423,-0.2856305,1.0716889,0.8533078,4.21875,0.59028417,0.31788856,-0.13372435,0.98270893,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.41056076,0.043508597,0.104939476,0.10615535,5.7337737,0.24540299,0.3625048,0.048055947,0.81100523,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
